시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
대전,동구,1430,14,332,1782,48
대전,중구,1348,12,377,1554,91
대전,서구,2677,23,599,3309,188
대전,유성구,2027,14,464,2485,212
대전,대덕구,855,14,211,953,44
